train/n_updates,time/total_timesteps,time/episodes,train/ent_coef,train/actor_loss,train/critic_loss,train/reward,time/fps,time/time_elapsed,train/ent_coef_loss,train/learning_rate
991,1092,4,0.10510504990816116,51.493316650390625,171.114501953125,-0.6799966,38,28,20.913522720336914,0.0001
2083,2184,8,0.10356627404689789,78.417724609375,132.70709228515625,0.6396748,36,59,-48.39602279663086,0.0001
3175,3276,12,0.09542401134967804,60.519508361816406,146.23092651367188,0.047065288,35,92,-104.06021118164062,0.0001
4267,4368,16,0.0856618583202362,45.40556335449219,153.26795959472656,-0.20286545,34,125,-107.0627670288086,0.0001
5359,5460,20,0.07685545831918716,28.497135162353516,10.761274337768555,0.25771523,33,162,-111.78156280517578,0.0001
6451,6552,24,0.06894538551568985,19.477001190185547,18.099037170410156,-0.07190686,33,195,-117.24407958984375,0.0001
7543,7644,28,0.06184336543083191,15.102415084838867,8.612022399902344,-0.2868948,33,228,-122.3603744506836,0.0001
8635,8736,32,0.05546185374259949,6.912128448486328,162.13360595703125,-0.11097261,33,260,-127.3640365600586,0.0001
9727,9828,36,0.04971855506300926,7.955430030822754,24.82986831665039,0.046848204,33,292,-131.43495178222656,0.0001
10819,10920,40,0.044572364538908005,1.464334487915039,60.878807067871094,-0.16959567,32,335,-137.1201171875,0.0001
11911,12012,44,0.039970092475414276,-1.349495768547058,16.318950653076172,-0.07279328,32,369,-139.72207641601562,0.0001
13003,13104,48,0.035834018141031265,-5.639168739318848,30.97620964050293,-0.038202215,32,402,-143.36927795410156,0.0001
14095,14196,52,0.03213677182793617,-6.209157466888428,8.187973976135254,0.42904326,32,435,-147.51522827148438,0.0001
15187,15288,56,0.028835870325565338,-7.224209785461426,12.745580673217773,-0.28926787,32,467,-153.73080444335938,0.0001
16279,16380,60,0.025869743898510933,-10.61762809753418,2.6661362648010254,-0.28623807,32,505,-155.15086364746094,0.0001
17371,17472,64,0.02321353368461132,-2.120422840118408,366.5039367675781,0.003352825,32,537,-157.3308868408203,0.0001
18463,18564,68,0.020832085981965065,-11.532609939575195,21.120681762695312,0.14194821,32,570,-158.84217834472656,0.0001
19555,19656,72,0.018688669428229332,-12.328679084777832,10.383260726928711,0.065841146,32,602,-164.8563232421875,0.0001
20647,20748,76,0.016767974942922592,-10.044997215270996,1.7088344097137451,0.18912965,32,634,-169.63397216796875,0.0001
21739,21840,80,0.015037992037832737,-10.688065528869629,4.7300519943237305,-0.038630903,32,666,-173.32974243164062,0.0001
22831,22932,84,0.01348334364593029,0.4275904893875122,21.194860458374023,-0.12757504,32,699,-175.34286499023438,0.0001
23923,24024,88,0.012097305618226528,-8.701743125915527,9.393691062927246,0.043503754,32,732,-178.71934509277344,0.0001
25015,25116,92,0.0108525725081563,-8.549269676208496,3.6109120845794678,-0.14633942,32,764,-182.4283447265625,0.0001
26107,26208,96,0.009736843407154083,-10.731857299804688,1.1123061180114746,0.0187144,32,796,-185.44000244140625,0.0001
27199,27300,100,0.0087367482483387,-7.8822021484375,1.4186186790466309,-0.092830375,32,829,-190.27935791015625,0.0001
28291,28392,104,0.00783957727253437,-7.300926208496094,17.55447769165039,-0.12767543,32,864,-187.21932983398438,0.0001
29383,29484,108,0.007032956928014755,-9.192425727844238,8.188413619995117,0.26406974,32,899,-194.6014404296875,0.0001
30475,30576,112,0.006311038974672556,-8.981117248535156,0.30019712448120117,0.043566316,32,932,-196.47119140625,0.0001
31567,31668,116,0.0056673819199204445,-7.0957865715026855,328.06683349609375,0.3129812,32,965,-194.71841430664062,0.0001
32659,32760,120,0.0050897980108857155,-7.03597354888916,2.5833327770233154,0.2555754,32,999,-195.0678253173828,0.0001
33751,33852,124,0.004572658333927393,-6.303525924682617,0.41492611169815063,0.5320616,32,1031,-192.56661987304688,0.0001
34843,34944,128,0.004107754211872816,-8.29888916015625,21.616077423095703,0.43316635,32,1075,-200.39483642578125,0.0001
35935,36036,132,0.003687493037432432,-6.8518195152282715,3.005354881286621,0.3191998,32,1109,-198.9220733642578,0.0001
37027,37128,136,0.0033094435930252075,-6.057049751281738,0.34786301851272583,0.3965662,32,1141,-199.46124267578125,0.0001
38119,38220,140,0.0029716899152845144,-6.079432010650635,0.387467622756958,0.75156105,32,1174,-200.54330444335938,0.0001
39211,39312,144,0.0026672780513763428,-4.196465492248535,44.55581283569336,0.35590965,32,1208,-200.87124633789062,0.0001
