,0
Annual return,-0.6856819499971918
Cumulative returns,-0.04049132774787867
Annual volatility,0.1274021880720924
Sharpe ratio,-10.137212917740241
Calmar ratio,-16.213471452079002
Stability,0.8384085398728285
Max drawdown,-0.0422908784231565
Omega ratio,0.16610419520250466
Sortino ratio,-9.22247191113488
Skew,
Kurtosis,
Tail ratio,0.2659464781139622
Daily value at risk,-0.021176179286363565
