,0
Annual return,0.25496640300879636
Cumulative returns,0.35365959456636165
Annual volatility,0.1349135179900891
Sharpe ratio,1.756496197455534
Calmar ratio,3.257163710661081
Stability,0.9246662147226838
Max drawdown,-0.07827865764752974
Omega ratio,1.3387458663796914
Sortino ratio,2.586539207333108
Skew,
Kurtosis,
Tail ratio,0.9914741788064838
Daily value at risk,-0.01605712826943029
