,0
Annual return,0.224805487624534
Cumulative returns,0.0016106770648194324
Annual volatility,
Sharpe ratio,
Calmar ratio,
Stability,0.0
Max drawdown,0.0
Omega ratio,
Sortino ratio,inf
Skew,
Kurtosis,
Tail ratio,1.0
Daily value at risk,
