,0
Annual return,-0.808731532027324
Cumulative returns,-0.013041806110000498
Annual volatility,
Sharpe ratio,
Calmar ratio,-62.010700451004745
Stability,0.0
Max drawdown,-0.013041806110000493
Omega ratio,0.0
Sortino ratio,-15.874507866387544
Skew,
Kurtosis,
Tail ratio,1.0
Daily value at risk,
