,0
Annual return,-0.683006491802858
Cumulative returns,-0.04020082942329406
Annual volatility,0.15745100922461597
Sharpe ratio,-8.118391586319664
Calmar ratio,-16.989860696931157
Stability,0.851041251978771
Max drawdown,-0.040200829423294095
Omega ratio,0.2313797655713555
Sortino ratio,-7.95410379171825
Skew,
Kurtosis,
Tail ratio,0.32367911742103117
Daily value at risk,-0.024909379037937735
