,0
Annual return,0.14744285489917752
Cumulative returns,0.20127218502377642
Annual volatility,0.11294262189476126
Sharpe ratio,1.2781300686301025
Calmar ratio,2.3651148981249093
Stability,0.9120245168268093
Max drawdown,-0.06234067318085559
Omega ratio,1.239308689970998
Sortino ratio,1.797473964496483
Skew,
Kurtosis,
Tail ratio,0.8571452870874594
Daily value at risk,-0.013656594120492176
